ZIPCODE,PRICE_PER_SQFT
10001,1359274.2159358668
10002,1018460.3037318778
10003,1361510.1139001655
10004,1210128.8110502798
10005,1231348.0940266026
10006,1495518.6890602966
10007,2114519.281092854
10009,633802.0481356512
10010,1566658.5782927547
10011,2119792.0010073497
10012,1705617.7322363108
10013,2778668.5143326237
10014,2091530.081334643
10016,1072436.7218866637
10017,627055.6869312056
10018,1655940.922519101
10019,1745572.4579692988
10021,2225873.741300193
10022,1016588.2151261684
10023,1624620.6232671966
10024,1188358.3502860272
10025,895613.5564405742
10026,656878.8740565339
10027,785377.7079634778
10028,1501886.976947575
10029,890437.8630126152
10030,581878.6320901054
10031,486123.14458298765
10032,420868.87059455743
10033,465025.4030919
10034,339588.3218610891
10035,601111.9787612949
10036,1552602.8793505498
10037,218276.67179267626
10038,876446.3704003365
10039,796703.2967032967
10040,367341.38048092014
10044,563024.3497538393
10065,2237192.176000238
10069,1604604.0649303668
10075,2334470.261518229
10128,1648904.253625995
10280,1053181.72474827
10282,1642335.7664233577
10301,369382.1832727384
10302,432220.8902601061
10303,390887.19522092683
10304,573100.6262350143
10305,440099.5445248735
10306,457034.7648119453
10307,434275.2902030346
10308,449873.5791771471
10310,362503.86397807486
10312,480187.7049741706
10314,451983.3479940484
10451,288083.57540926087
10452,179472.22703387932
10453,355422.77564552904
10454,390979.90473812283
10455,160241.15931874618
10456,276854.40875473793
10457,534808.1963194608
10458,298988.2472136493
10459,279968.2903674317
10460,261069.44418796833
10461,390480.44621441455
10462,269519.9145704743
10463,460949.47953416774
10464,330597.90448542975
10465,400580.30709350796
10466,350207.74969315977
10467,247835.0716631668
10468,364487.99463812774
10469,408214.25103729655
10470,270193.858296209
10471,446282.78485325736
10472,342973.5288744379
10473,344659.79754262447
10474,307055.7264546255
10475,780468.75
11001,569176.1422347644
11004,468866.2721441433
11005,366685.1024426319
11040,148795.36222455002
11101,870010.2025044268
11102,810244.2058883708
11103,691991.0842964415
11104,378562.4596872228
11105,403776.339043354
11106,461769.4203125475
11109,1229043.1255263926
11201,1655745.969816907
11203,351385.25018283125
11204,733157.9403732005
11205,1312288.5926072896
11206,881108.0534648178
11207,448990.17574337096
11208,390453.24695098086
11209,690543.2243246104
11210,455144.3110648899
11211,907368.9742937366
11212,493316.4032246788
11213,508437.3114835996
11214,560210.9181509645
11215,970617.7729723834
11216,738113.9203614665
11217,1235878.972421917
11218,766955.8711300462
11219,763391.1864171545
11220,536916.7206976146
11221,667866.4867567569
11222,1108583.950740115
11223,614049.3744687851
11224,506754.9729473962
11225,587111.5148197088
11226,415038.83116138465
11228,727825.7063470952
11229,492916.0517820738
11230,549041.3497803988
11231,1061817.4484867058
11232,645080.1719149805
11233,602428.240622121
11234,480604.5659594799
11235,552822.2108530134
11236,433410.080995468
11237,733472.6608878345
11238,923035.7147077606
11249,1273931.547053849
11354,693830.1313481656
11355,560215.837181213
11356,557286.7342288346
11357,642934.5248418362
11358,605172.9323042467
11360,436003.18470693636
11361,594770.1381065897
11362,373386.94784294395
11363,425261.4553026151
11364,127735.09557122909
11365,536825.8746374801
11366,646387.792830512
11367,376627.5303884113
11368,419794.26230580476
11369,464858.90345052746
11370,673301.8057457643
11372,318401.300391053
11373,483528.7536047798
11374,343527.8630605762
11375,383272.31071627093
11377,458859.4919501703
11378,503295.85972418904
11379,473011.5450795276
11385,624686.9300913938
11411,363353.9446780412
11412,302110.4352413245
11413,533377.7752980547
11414,343615.4217968995
11415,276374.4560176696
11416,159783.32743497833
11417,354875.07339324726
11418,377963.98823489295
11419,397126.87480945926
11420,367209.14035231783
11421,362215.4796085371
11422,291932.5698467023
11423,406748.52848874225
11426,498239.49485523376
11427,161989.57515286424
11429,372810.03367060085
11432,489946.3559297483
11433,310867.8490783676
11435,402027.62764764664
11436,423782.7680069203
11691,358269.3154618596
11692,378982.8529873384
11693,333333.3333333333
11694,670539.0995100432
11697,316819.6635673496
